treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Connexion internet,Fabrication,0.003430000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Connexion internet,Transport,0.000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Connexion internet,Utilisation,0.003570000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Connexion internet,Fin de vie,0.000143000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Serveurs,Fabrication,0.000126000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Serveurs,Transport,0.000006210,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Serveurs,Utilisation,0.000072500,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Serveurs,Fin de vie,0.000002070,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Fabrication de ↴,L'ordinateur de bureau,0.095700000000000,par étape de cycle de vie,"Le scénario de l'ordinateur de bureau comprend l'utilisation d'un ordinateur de bureau et d'un écran supplémentaire pour afficher le jeu. Pour plus d'infos sur les hypothèses du scénario, clique sur le bouton ""i"" à droite de ""Scénario""."
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Fabrication de ↴,L'écran,0.012200000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Transport de ↴,L'ordinateur de bureau,0.001100000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Transport de ↴,L'écran,0.000324000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Utilisation de ↴,L'ordinateur de bureau,0.011000000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Utilisation de ↴,L'écran,0.002920000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Fin de vie de ↴,L'ordinateur de bureau,0.002200000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Fin de vie de ↴,L'écran,0.000810000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Connexion internet,Fabrication,0.003430000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Connexion internet,Utilisation,0.003570000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Connexion internet,Fin de vie,0.000143000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Serveurs,Fabrication,0.000126000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Serveurs,Transport,0.000006210000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Serveurs,Utilisation,0.000072500000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur fixe,Serveurs,Fin de vie,0.000002070000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Fabrication de la ↴,Console,0.000015500000000,par étape de cycle de vie,"Sur les ressources minérales et métalliques, c'est la fabrication qui prend le dessus sur l'impact. Ça vient du fait que c'est à l'étape de construction des équipements qu'on utilise le plus de minéraux et de métaux. "
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Fabrication de la ↴,Télévision,0.000005060000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Transport de la ↴,Console,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Transport de la ↴,Télévision,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Utilisation de la ↴,Console,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Utilisation de la ↴,Télévision,0.000000025600000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Fin de vie de la ↴,Console,0.000000078000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Fin de vie de la ↴,Télévision,0.000000025600000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Connexion internet,Fabrication,0.000000434000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Connexion internet,Utilisation,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Connexion internet,Fin de vie,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Serveurs,Fabrication,0.000000009070000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Serveurs,Transport,0.000000000000000,par étape de cycle de vie,
